term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4,meaninglanguage5,meaning5
abdomen,"Por cierto, abdomen en español también es",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,腹部,,,,,,,,
abejas,poco a colmenas de abejas,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,蜜蜂,,,,,,,,
abiertamente,Se puede hablar más abiertamente,Adverb,,,,,,,,,,,,,,,,,,,,zh-cn,更开放地,,,,,,,,
abiertas,las herramientas y plataformas abiertas de Internet como eje,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,打开,,,,,,,,
abogados,en un despacho de abogados,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,律师,,,,,,,,
abono,…Quiere un abono o prefiere cambiarlo por…,Verb,yo,presente,abonar,abonarse,Noun,verb,noun,presente,yo,abonar,abonarse,,,,,,,,,zh-cn,肥料；肥料；长期票,zh-cn,订阅票,,,,,,
abrazados,No se quedan abrazados mirándose a los ojos,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,被拥抱,,,,,,,,
abrazan,"hay cierta confianza, se abrazan",Verb,presente,ellos/ellas/uds.,abrazar,abrazarse,,,,,,,,,,,,,,,,zh-cn,拥抱,,,,,,,,
abrazándolo,"...tu día especial —exclamó, abrazándolo.",,,,,,,,,,,,,,,,,,,,,zh-cn,拥抱他,,,,,,,,
abrazándose,victoria y daban saltos abrazándose unos a otros,,,,,,,,,,,,,,,,,,,,,zh-cn,拥抱,,,,,,,,
abrazar,Solo quiero abrazar el mar,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,拥抱,,,,,,,,
abrazaron,Se abrazaron,Verb,pretérito perfecto simple,ellos/ellas/uds.,abrazar,abrazarse,,,,,,,,,,,,,,,,zh-cn,拥抱,,,,,,,,
abrazaste,Me abrazaste con todos mis defectos,Verb,pretérito perfecto simple,tú,abrazar,abrazarse,verb,tú,pretérito perfecto simple,abrazar,abrazarse,,,,,,,,,,,zh-cn,tr.拥抱；抱住；包含；包围；信仰；prnl.搂住,,,,,,,,
abrazó,"de la emoción y abrazó a su hijo, mientras",Verb,pretérito perfecto simple,él/ella/ud.,abrazar,abrazarse,,,,,,,,,,,,,,,,zh-cn,拥抱,,,,,,,,
abre la boca,"Abre la boca.... Sí, tienes una caries",,,,,,,,,,,,,,,,,,,,,zh-cn,张开嘴,,,,,,,,
abres,...sesenta duros y te abres una cartilla de ahorro...,Verb,presente,tú,abrir,abrirse,verb,abrir,tú,presente,abrirse,,,,,,,,,,,zh-cn,开一个,,,,,,,,
ábrete,"que te sientas atraído, ábrete a nuevas experiencias que",Verb,imperativo,abrirse,,,,,,,,,,,,,,,,,,zh-cn,打开自己,,,,,,,,
abridor,Tenemos vino pero no abridor,,,,,,,,,,,,,,,,,,,,,zh-cn,开瓶器,,,,,,,,
abriéndose,"...en el automóvil descubierto, abriéndose paso a duras penas...",,,,,,,,,,,,,,,,,,,,,zh-cn,开辟,zh-cn,打开,,,,,,
abrigo,"Dame mi abrigo, por favor",Verb,yo,presente,abrigar,abrigarse,Noun,,,,,,,,,,,,,,,zh-cn,外套,,,,,,,,
abrigos,"...a abril, las paredes de Limerick estaban r...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,外套,,,,,,,,
abrirá,Lo abrirá con manos temblorosas y,Verb,él/ella/ud.,futuro,abrir,abrirse,,,,,,,,,,,,,,,,zh-cn,将打开,,,,,,,,
abrirnos,crear aquello que puede abrirnos nuevos horizontes en la,,,,,,,,,,,,,,,,,,,,,zh-cn,打开我们,,,,,,,,
absoluta,"su gallardía, su falta absoluta de piedad",Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,绝对,,,,,,,,
absolutamente,Tobías no puede escribir absolutamente nada porque se queda...,Pronoun,Adverb,pronoun,adverb,,,,,,,,,,,,,,,,,zh-cn,完全,,,,,,,,
absorbe,…que el mar te absorbe,Verb,él/ella/ud.,presente,absorber,verb,presente,él/ella/ud.,absorber,,,,,,,,,,,,,zh-cn,吸收,,,,,,,,
absorbente,"Absorbente, imaginativa y sólidamente construida.",,,,,,,,,,,,,,,,,,,,,zh-cn,吸收剂,zh-cn,吸引人的,,,,,,
absorbido,libro es fácil quedar absorbido por esa atmósfera,Verb,yo,pretérito perfecto compuesto,absorber,,,,,,,,,,,,,,,,,zh-cn,被吸收,,,,,,,,
absorbiendo,...que antes porque está absorbiendo los coches que antes...,Verb,gerundio,absorber,verb,gerundio,absorber,,,,,,,,,,,,,,,zh-cn,吸收,,,,,,,,
absorbió,"su trabajo y, consiguientemente, absorbió un gran, cantidad de",Verb,pretérito perfecto simple,él/ella/ud.,absorber,,,,,,,,,,,,,,,,,zh-cn,吸收,,,,,,,,
absorción,"de concentración activa, de absorción en lo que se",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,吸收,,,,,,,,
absorta,La absorta concentración que aparece en…,Verb,él/ella/ud.,presente,absortar,absortarse,verb,presente,él/ella/ud.,absortar,absortarse,,,,,,,,,,,zh-cn,专注的,,,,,,,,
absorto,"encontraron a Percy, completamente absorto en la lectura de",Verb,yo,presente,absortar,absortarse,,,,,,,,,,,,,,,,zh-cn,专注,,,,,,,,
absortos,…es que nos quedamos absortos.,,,,,,,,,,,,,,,,,,,,,zh-cn,全神贯注的，惊讶的,,,,,,,,
abstracto,moderno por su carácter abstracto,Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,抽象的,,,,,,,,
absurda,...autor convierte la ciudad absurda y cotidiana en el...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,荒诞的,,,,,,,,
absurdo,Es absurdo que una pareja siga…,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,荒谬的,,,,,,,,
absurdos,Corren los rumores más absurdos... Alguien decía que os...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,荒谬,,,,,,,,
abuelita,"Abuelita, he vuelto a perder...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,奶奶,,,,,,,,
abundante,Mortadelo tenía una abundante y larga melena.,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,丰厚的,,,,,,,,
aburra,"cuántos, que no se aburra nunca, que no sienta",Verb,él/ella/ud.,presente,imperativo,subjuntivo presente,aburrarse,aburrir,aburrirse,,,,,,,,,,,,,zh-cn,他感到无聊,,,,,,,,
aburre,Es que se aburre,Verb,él/ella/ud.,presente,subjuntivo presente,aburrarse,aburrir,aburrirse,,,,,,,,,,,,,,zh-cn,无聊的,,,,,,,,
aburren,"…que, al final, se aburren.",Verb,presente,ellos/ellas/uds.,subjuntivo presente,aburrarse,aburrir,aburrirse,verb,aburrir,presente,subjuntivo presente,ellos/ellas/uds.,aburrirse,aburrarse,,,,,,,zh-cn,他们无聊,,,,,,,,
aburres,Qué hacer si te aburres escuchando repetidamente,Verb,presente,tú,subjuntivo presente,aburrarse,aburrir,aburrirse,,,,,,,,,,,,,,zh-cn,你无聊,,,,,,,,
aburría,,Verb,yo,indicativo pretérito imperfecto,aburrir,aburrirse,Noun,,,,,,,,,,,,,,,zh-cn,无聊,,,,,,,,
aburridísimo,lectura de un libro aburridísimo que se titulaba Prefectos,,,,,,,,,,,,,,,,,,,,,zh-cn,无聊的,,,,,,,,
aburrimiento,la ansiedad y el aburrimiento,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,无聊,,,,,,,,
aburrir,Me hizo aburrir el español.,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,无聊,,,,,,,,
aburrirse,006 –La picaresca. Aburrirse al escuchar,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,感到无聊,,,,,,,,
abusado,de quien se ha abusado o a quien se,Verb,yo,pretérito perfecto compuesto,abusar,abusarse,,,,,,,,,,,,,,,,zh-cn,滥用,,,,,,,,
abusar,las que se podía abusar a todos los niveles,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,滥用,,,,,,,,
abusas,,Verb,presente,tú,abusar,abusarse,verb,tú,presente,abusarse,abusar,,,,,,,,,,,zh-cn,你虐待,,,,,,,,
abusivo,"excesivos, hábitos de uso abusivo de las redes sociales",,,,,,,,,,,,,,,,,,,,,zh-cn,滥用的,,,,,,,,
abuso,primera crítica habla del abuso de las proteínas y,Verb,yo,presente,abusar,abusarse,Noun,verb,noun,presente,yo,abusarse,abusar,,,,,,,,,zh-cn,滥用,,,,,,,,
acá,,Adverb,Noun,,,,,,,,,,,,,,,,,,,zh-cn,这里,zh-cn,adv.这里；从…起到现在；,,,,,,
acaba,"Si insistes, seguro que acaba cayendo algo.",Verb,él/ella/ud.,presente,acabar,acabarse,verb,presente,acabar,él/ella/ud.,acabarse,,,,,,,,,,,zh-cn,只是,zh-cn,最后会,,,,,,
acababa,Acababa de comenzar mi curso…,Verb,yo,indicativo pretérito imperfecto,acabar,acabarse,verb,yo,acabar,acabarse,indicativo pretérito imperfecto,,,,,,,,,,,zh-cn,刚刚,,,,,,,,
acaba cayendo algo,"Si insistes, seguro que acaba cayendo algo.",,,,,,,,,,,,,,,,,,,,,zh-cn,会掉下来,,,,,,,,
acaban sintiendo,las personas a menudo acaban sintiendo que han malgastado su,,,,,,,,,,,,,,,,,,,,,zh-cn,他们最终感觉,,,,,,,,
acabara,del árbol furioso le acabara de golpear en el,Verb,yo,subjuntivo pretérito imperfecto,acabar,acabarse,,,,,,,,,,,,,,,,zh-cn,即将完成,,,,,,,,
acabará,"te acabará arrepintiendo, pero será tarde",Verb,él/ella/ud.,futuro,acabar,acabarse,,,,,,,,,,,,,,,,zh-cn,会停,,,,,,,,
acabarán,......,Verb,ellos/ellas/uds.,futuro,acabar,acabarse,verb,acabar,futuro,ellos/ellas/uds.,acabarse,,,,,,,,,,,zh-cn,将,,,,,,,,
acabar el informe,...porque tengo prisa en acabar el informe.,,,,,,,,,,,,,,,,,,,,,zh-cn,完成报告,,,,,,,,
acabarla,...frase para pensar cómo acabarla.,,,,,,,,,,,,,,,,,,,,,zh-cn,完成它,,,,,,,,
acabé,Primera persona: En 2012 acabé los estudios de economía,Verb,yo,pretérito perfecto simple,acabar,acabarse,Noun,,,,,,,,,,,,,,,zh-cn,我完成了,,,,,,,,
acabó de,...instructor del sumario no acabó de entenderla.,,,,,,,,,,,,,,,,,,,,,zh-cn,完成的,,,,,,,,
acabo de darme cuenta de que,Acabo de darme cuenta de que ya no podemos seguir,,,,,,,,,,,,,,,,,,,,,zh-cn,我刚刚意识到,,,,,,,,
academia,casarán y fundarán una academia de baile llamada “Amor,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,学院,,,,,,,,
académica,"obligaciones de la prosa académica, es fácil caer en",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,学者,,,,,,,,
académicas,establecidas por las especialidades académicas y se enfocaran en,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,学术的,,,,,,,,
académico,"Vaya, un académico.",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,学者,,,,,,,,
acallar,...no había aprendido a acallar con palabras.,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,"tr. 

1. 使安静, 使不出声. 
2. 平息 (不满、愤怒等) . 
3. 【转】减缓, 减轻 (疼痛, 痛苦) .  抑制",,,,,,,,
a cambio,el dinero que consigues a cambio,,,,,,,,,,,,,,,,,,,,,zh-cn,作为回报,,,,,,,,
acampada,dos habían ido de acampada juntos,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,露营,,,,,,,,
a carcajadas,ya se estaba riendo a carcajadas,,,,,,,,,,,,,,,,,,,,,zh-cn,衷心地,,,,,,,,
acariciar,"...labios, que hubiera querido acariciar con la yema de...",Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,轻轻抚摸,,,,,,,,
acaricié,...acerqué hasta él y acaricié las palabras con la...,Verb,yo,pretérito perfecto simple,acariciar,verb,yo,pretérito perfecto simple,acariciar,,,,,,,,,,,,,zh-cn,我轻抚,,,,,,,,
acarició,...el aliento del amanecer acarició mi ventana y mis...,Verb,pretérito perfecto simple,él/ella/ud.,acariciar,verb,pretérito perfecto simple,él/ella/ud.,acariciar,,,,,,,,,,,,,zh-cn,爱抚,en,acariciar⇒ vtr	(tocar suavemente),,,,,,
acaso,Pero acaso no se necesita la...,Adverb,Noun,noun,adverb,,,,,,,,,,,,,,,,,zh-cn,也许,zh-cn,m.偶然；意外时间；adv.或许；难道,,,,,,
a causa de,Debido a/a causa de + nombre,,,,,,,,,,,,,,,,,,,,,zh-cn,由于,,,,,,,,
a causa del,dos frunciendo la nariz a causa del olor del nuevo uniforme,,,,,,,,,,,,,,,,,,,,,zh-cn,由于,,,,,,,,
a causa de que,…dolor de estómago es a causa de que se produce una lesión…,,,,,,,,,,,,,,,,,,,,,zh-cn,因为,,,,,,,,
accede,isita Planetadelibros.com y descubre una nueva forma de disfrutar de la lectura,Verb,él/ella/ud.,presente,acceder,verb,presente,él/ella/ud.,acceder,,,,,,,,,,,,,zh-cn,访问,,,,,,,,
acceden a una identidad,"…muchos chicos trans, que acceden a una identidad a través de la…",,,,,,,,,,,,,,,,,,,,,zh-cn,获得身份,,,,,,,,
acceder,Acceder: Tener entrada o permiso,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,"同意，答应；放弃己见, 进入",,,,,,,,
acceder a una identidad,…hay más prisa por acceder a una identidad que al final cierra…,,,,,,,,,,,,,,,,,,,,,zh-cn,获取身份,,,,,,,,
accelerator,SLAC National Accelerator Laboratory,,,,,,,,,,,,,,,,,,,,,zh-cn,加速器,,,,,,,,
accesible,Es erudito y accesible a todo el mundo...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,可接近的,,,,,,,,
acceso,...el teléfono y el acceso a Internet.,Verb,yo,presente,accesar,Noun,verb,noun,presente,yo,accesar,,,,,,,,,,,zh-cn,访问,zh-cn,通道，入口,,,,,,
accidental,"de Sam, un acontecimiento accidental se impuso en su",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,"偶然的, 意外的：",,,,,,,,
accidentales,...y cuando estos componentes accidentales no se diferencian de...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,偶然的,,,,,,,,
accidentalmente,"...un merengue y él, accidentalmente, me soltó.",Adverb,adverb,,,,,,,,,,,,,,,,,,,zh-cn,意外地,,,,,,,,
acción,...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,f.行动；活动；行为；作用；情结；战斗；股份,,,,,,,,
acciones,el fin de provocar acciones a favor de cualquier,Verb,tú,subjuntivo presente,accionar,Noun,,,,,,,,,,,,,,,,zh-cn,行动,,,,,,,,
acción inmediata,,,,,,,,,,,,,,,,,,,,,,zh-cn,立即行动,,,,,,,,
aceite,...Tarea Del árabe vulgar “tariha. Una tarea es un...,Verb,él/ella/ud.,imperativo,aceitar,Noun,verb,noun,imperativo,aceitar,él/ella/ud.,,,,,,,,,,,zh-cn,油,,,,,,,,
aceituna,"Aceituna: Fruto del olivo, generalmente",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,橄榄,,,,,,,,
aceitunas,los aperitivos ligeros como aceitunas o frutos secos antes,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,橄榄,,,,,,,,
aceleración,,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,加速度,,,,,,,,
aceleradamente,El corazón le latía aceleradamente mientras atravesaba el recibidor,Adverb,,,,,,,,,,,,,,,,,,,,ja,加速,zh-cn,快速地,,,,,,
acelerado,significa hacer nuevas cosas: ir de 0 ...,Verb,yo,pretérito perfecto compuesto,acelerar,acelerarse,Adjective,verb,adjective,yo,pretérito perfecto compuesto,acelerar,acelerarse,,,,,,,,,zh-cn,快速的,,,,,,,,
acento,Virgilio en latín sin acento y al que habían,Noun,,,,,,,,,,,,,,,,,,,,en,accent,,,,,,,,
acentos fuertes,Algunos personajes tienen acentos fuertes.,,,,,,,,,,,,,,,,,,,,,zh-cn,浓重的口音,,,,,,,,
acepta,"Es decir, acepta dar dinero con ciertas",Verb,él/ella/ud.,presente,aceptar,,,,,,,,,,,,,,,,,zh-cn,同意,,,,,,,,
aceptable,"hay cierta amistad, es aceptable dar dos besos",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,接受,,,,,,,,
aceptación,...respeto mutuo y la aceptación de las diferencias.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,接受,,,,,,,,
aceptaran,......,Verb,ellos/ellas/uds.,subjuntivo pretérito imperfecto,aceptar,verb,aceptar,ellos/ellas/uds.,subjuntivo pretérito imperfecto,,,,,,,,,,,,,zh-cn,会接受,,,,,,,,
aceptaría,Aceptaría su oferta a condición,Verb,yo,condicional,aceptar,,,,,,,,,,,,,,,,,zh-cn,会接受,,,,,,,,
aceptó,"…besos y ella los aceptó, pero no con muy…",Verb,pretérito perfecto simple,él/ella/ud.,aceptar,verb,pretérito perfecto simple,aceptar,él/ella/ud.,,,,,,,,,,,,,zh-cn,接受,,,,,,,,
acerca,...que parecían saber más acerca de mí que yo...,Verb,él/ella/ud.,presente,acercar,acercarse,Adjective,Adverb,verb,adjective,presente,adverb,acercar,él/ella/ud.,acercarse,,,,,,,zh-cn,关于,zh-cn,靠近；临近,,,,,,
acerca de,Cuando la gente reflexiona acerca de cómo se siente cuando…,,,,,,,,,,,,,,,,,,,,,zh-cn,关于,,,,,,,,
acercando,"Te lo advierto —dijo, acercando su rostro grande y...",Verb,gerundio,acercar,verb,gerundio,acercar,,,,,,,,,,,,,,,zh-cn,靠近,,,,,,,,
acercándome,"recorro hacia un lado, acercándome a la pelirroja que",,,,,,,,,,,,,,,,,,,,,zh-cn,越来越近,,,,,,,,
acercándose,PASOS ACERCÁNDOSE,,,,,,,,,,,,,,,,,,,,,zh-cn,靠近,,,,,,,,
acércate,,Verb,imperativo,acercarse,,,,,,,,,,,,,,,,,,zh-cn,靠近一点,,,,,,,,
acercó,"Mi novio se le acercó otra vez, y ella…",Verb,pretérito perfecto simple,él/ella/ud.,acercar,acercarse,verb,pretérito perfecto simple,acercar,él/ella/ud.,acercarse,,,,,,,,,,,zh-cn,接近,,,,,,,,
acero,...los cuchillos con el acero limpio en la mesa...,Verb,yo,presente,acerar,acerarse,Noun,verb,noun,presente,yo,acerarse,acerar,,,,,,,,,zh-cn,钢,,,,,,,,
acerqué,"…que, muy resuelto, me acerqué a la barra y…",Verb,yo,pretérito perfecto simple,acercar,acercarse,Noun,verb,noun,yo,pretérito perfecto simple,acercar,acercarse,,,,,,,,,zh-cn,我走近,,,,,,,,
acertada,"hechos, sin duda químicamente acertada, pero fenomenológicamente irrelevante",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,正确的,,,,,,,,
acertar,blanco es sinónimo de acertar,Verb,participio pasado,,,,,,,,,,,,,,,,,,,en,击中,,,,,,,,
aclaración,Una aclaración,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,说明,,,,,,,,
aclarado,"...actualidad Rowling no ha aclarado sus intenciones literarias en el futuro y disfruta de su éxito realizando numerosos actos benéficos, conferencias e intervenciones a favor de la lectura.",Verb,yo,pretérito perfecto compuesto,aclarar,aclararse,verb,aclararse,aclarar,yo,pretérito perfecto compuesto,,,,,,,,,,,zh-cn,明确,,,,,,,,
aclarar,Hay que aclarar que en algunas iglesias,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,阐明,,,,,,,,
aclararemos,…debe ser así lo aclararemos a continuación; de momento…,Verb,nosotros,futuro,aclarar,aclararse,verb,aclararse,nosotros,aclarar,futuro,,,,,,,,,,,zh-cn,我们将澄清,,,,,,,,
aclararse,padre —susurra antes de aclararse la garganta y retroceder,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,阐明,,,,,,,,
aclaras,a ver si te aclaras! -El envoltorio de las,Verb,presente,tú,aclarar,aclararse,,,,,,,,,,,,,,,,zh-cn,你澄清一下,,,,,,,,
aclare,hasta que esto se aclare,Verb,él/ella/ud.,imperativo,subjuntivo presente,aclarar,aclararse,,,,,,,,,,,,,,,zh-cn,阐明,zh-cn,澄清,,,,,,
aclaró,…es que nunca me aclaró con las líneas de…,Verb,pretérito perfecto simple,él/ella/ud.,aclarar,aclararse,verb,aclararse,aclarar,pretérito perfecto simple,él/ella/ud.,,,,,,,,,,,zh-cn,澄清的,,,,,,,,
acompañado,"Llega el novio, acompañado de su familia y…",Verb,yo,pretérito perfecto compuesto,acompañar,acompañarse,Adverb,verb,acompañar,yo,adverb,pretérito perfecto compuesto,acompañarse,,,,,,,,,zh-cn,陪同,,,,,,,,
acompañados,"...tristes, alegres, solos o acompañados, divirtiéndonos o trabajando, e...",,,,,,,,,,,,,,,,,,,,,zh-cn,有伴,,,,,,,,
acompañan,...y las personas que acompañan al rey o la...,Verb,presente,ellos/ellas/uds.,acompañar,acompañarse,verb,acompañar,presente,ellos/ellas/uds.,acompañarse,,,,,,,,,,,zh-cn,陪伴,,,,,,,,
acompañante,...aquí sólo vengo de acompañante.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,陪伴者,,,,,,,,
acondicionado,...mal que tengo aire acondicionado :) Vamos a ver qué...,Verb,yo,pretérito perfecto compuesto,acondicionar,acondicionarse,Adjective,verb,adjective,yo,pretérito perfecto compuesto,acondicionar,acondicionarse,,,,,,,,,zh-cn,条件,zh-cn,空调,,,,,,
aconsejan,Los médicos aconsejan hacer deporte.,Verb,presente,ellos/ellas/uds.,aconsejar,aconsejarse,verb,presente,ellos/ellas/uds.,aconsejar,aconsejarse,,,,,,,,,,,zh-cn,建议,,,,,,,,
aconsejar,,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,建议,,,,,,,,
aconsejó,Jorge me aconsejó que escuchara y leyera...,Verb,pretérito perfecto simple,él/ella/ud.,aconsejar,aconsejarse,verb,pretérito perfecto simple,él/ella/ud.,aconsejar,aconsejarse,,,,,,,,,,,zh-cn,他建议,,,,,,,,
acontecimiento,Este acontecimiento se celebra especialmente en...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,（重大的）事件,,,,,,,,
acontecimientos,se siguen produciendo importantes acontecimientos,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,事件,zh-cn,事件;情况,,,,,,
a continuación,Lo he simplificado a continuación,,,,,,,,,,,,,,,,,,,,,zh-cn,接下来；接着,,,,,,,,
acordaba,Ya ni me acordaba de eso!,Verb,yo,indicativo pretérito imperfecto,acordar,acordarse,verb,acordar,yo,acordarse,indicativo pretérito imperfecto,,,,,,,,,,,zh-cn,记得,,,,,,,,
acordados,colegio son por definición acordados,,,,,,,,,,,,,,,,,,,,,zh-cn,同意,,,,,,,,
acordáis,Os acordáis de ese muchacho de,Verb,presente,vosotros,acordar,acordarse,Noun,,,,,,,,,,,,,,,zh-cn,记得,,,,,,,,
acordamos,"hace mucho frío, nos acordamos de lo bien que",Verb,presente,nosotros,acordar,acordarse,,,,,,,,,,,,,,,,zh-cn,我们同意,,,,,,,,
acordándose,"maravilla —repuso Harry, contento, acordándose de Privet Drive",,,,,,,,,,,,,,,,,,,,,zh-cn,记住,,,,,,,,
acordar,Acordar: Llegar a un acuerdo,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,同意,zh-cn,想起,zh-cn,达成协议,,,,
acordaran,para que no se acordaran de nada,Verb,ellos/ellas/uds.,subjuntivo pretérito imperfecto,acordar,acordarse,,,,,,,,,,,,,,,,zh-cn,他们会同意的,,,,,,,,
acordaré,Yo me acordaré por los dos.,Verb,yo,futuro,acordar,acordarse,verb,acordar,yo,futuro,acordarse,,,,,,,,,,,zh-cn,我会记得,,,,,,,,
acordaron,"Al regresar, todos acordaron celebrar su éxito con",Verb,pretérito perfecto simple,ellos/ellas/uds.,acordar,acordarse,,,,,,,,,,,,,,,,zh-cn,决定,,,,,,,,
acordarse,...de las manos para acordarse de cómo había sido...,Verb,participio pasado,Noun,verb,noun,participio pasado,,,,,,,,,,,,,,,zh-cn,记得,,,,,,,,
acordé,......,Verb,yo,pretérito perfecto simple,acordar,acordarse,Noun,verb,acordar,noun,yo,pretérito perfecto simple,acordarse,,,,,,,,,zh-cn,想起,,,,,,,,
acordó,Se acordó de la profesora de,Verb,pretérito perfecto simple,él/ella/ud.,acordar,acordarse,,,,,,,,,,,,,,,,zh-cn,想起,,,,,,,,
acortando,"Sube dos escalones, acortando la distancia entre nosotros",Verb,gerundio,acortar,,,,,,,,,,,,,,,,,,zh-cn,缩短,,,,,,,,
acortarse,"el día empieza a acortarse, se hace de noche",Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,缩短,,,,,,,,
acortó,Revolución Industrial no solamente acortó la esperanza de vida,Verb,pretérito perfecto simple,él/ella/ud.,acortar,acortarse,,,,,,,,,,,,,,,,zh-cn,缩短,,,,,,,,
a corto plazo,"A corto plazo, puedes ceder ante el",,,,,,,,,,,,,,,,,,,,,zh-cn,短期,,,,,,,,
acostada,...se encuentre a Sandra acostada en la cama.,,,,,,,,,,,,,,,,,,,,,zh-cn,躺着,,,,,,,,
acostado,Se han acostado casi con hambre porque...,Verb,yo,pretérito perfecto compuesto,acostar,acostarse,Adjective,verb,adjective,yo,acostar,pretérito perfecto compuesto,acostarse,,,,,,,,,zh-cn,躺下,,,,,,,,
